repository,id,tag_name,published_at,author,draft,prerelease
stackflow,221756397,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59Z,github-actions[bot],false,false
stackflow,221756390,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56Z,github-actions[bot],false,false
stackflow,218765570,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02Z,github-actions[bot],false,false
stackflow,218765559,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59Z,github-actions[bot],false,false
stackflow,217906393,@stackflow/react@1.5.2,2025-05-12T07:52:17Z,github-actions[bot],false,false
stackflow,211240605,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22Z,github-actions[bot],false,false
stackflow,211240595,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19Z,github-actions[bot],false,false
stackflow,208587923,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24Z,github-actions[bot],false,false
stackflow,208587919,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22Z,github-actions[bot],false,false
stackflow,205775211,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35Z,github-actions[bot],false,false
stackflow,205775206,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32Z,github-actions[bot],false,false
stackflow,202012520,@stackflow/react@1.5.1,2025-02-24T11:45:06Z,github-actions[bot],false,false
stackflow,200295634,@stackflow/react@1.5.0,2025-02-14T02:06:57Z,github-actions[bot],false,false
stackflow,200295637,@stackflow/plugin-basic-ui@1.12.0,2025-02-14T02:07:00Z,github-actions[bot],false,false
stackflow,200295629,@stackflow/core@1.2.0,2025-02-14T02:06:54Z,github-actions[bot],false,false
stackflow,196072820,@stackflow/react@1.4.2,2025-01-22T12:13:17Z,github-actions[bot],false,false
stackflow,196072826,@stackflow/plugin-history-sync@1.7.1,2025-01-22T12:13:19Z,github-actions[bot],false,false
stackflow,196072809,@stackflow/link@1.6.1,2025-01-22T12:13:13Z,github-actions[bot],false,false
stackflow,196072797,@stackflow/core@1.1.1,2025-01-22T12:13:10Z,github-actions[bot],false,false
stackflow,196072781,@stackflow/config@1.2.1,2025-01-22T12:13:08Z,github-actions[bot],false,false
stackflow,191425119,@stackflow/react-ui-core@1.2.1,2024-12-18T12:26:00Z,github-actions[bot],false,false
stackflow,191372336,@stackflow/react-ui-core@1.2.0,2024-12-18T07:57:55Z,github-actions[bot],false,false
stackflow,191454765,@stackflow/plugin-basic-ui@1.11.1,2024-12-18T14:29:36Z,github-actions[bot],false,false
stackflow,191372330,@stackflow/plugin-basic-ui@1.11.0,2024-12-18T07:57:52Z,github-actions[bot],false,false
stackflow,186154740,@stackflow/plugin-basic-ui@1.10.1,2024-11-19T10:39:01Z,github-actions[bot],false,false
stackflow,184272883,@stackflow/link@1.6.0,2024-11-08T01:57:26Z,github-actions[bot],false,false
stackflow,181365373,@stackflow/react@1.4.1,2024-10-23T05:42:16Z,github-actions[bot],false,false
stackflow,176983643,@stackflow/react@1.4.0,2024-09-26T06:24:57Z,github-actions[bot],false,false
stackflow,176983651,@stackflow/plugin-preload@1.4.3,2024-09-26T06:25:00Z,github-actions[bot],false,false
stackflow,176983638,@stackflow/plugin-history-sync@1.7.0,2024-09-26T06:24:51Z,github-actions[bot],false,false
stackflow,176983640,@stackflow/link@1.5.0,2024-09-26T06:24:54Z,github-actions[bot],false,false
stackflow,176983629,@stackflow/config@1.2.0,2024-09-26T06:24:48Z,github-actions[bot],false,false
stackflow,174478352,@stackflow/plugin-basic-ui@1.10.0,2024-09-11T07:08:36Z,github-actions[bot],false,false
stackflow,173139832,@stackflow/react@1.3.2,2024-09-03T05:29:01Z,github-actions[bot],false,false
stackflow,173139827,@stackflow/react-ui-core@1.1.2,2024-09-03T05:28:55Z,github-actions[bot],false,false
stackflow,173139830,@stackflow/plugin-renderer-web@1.1.13,2024-09-03T05:28:57Z,github-actions[bot],false,false
stackflow,173139821,@stackflow/plugin-renderer-basic@1.1.13,2024-09-03T05:28:52Z,github-actions[bot],false,false
stackflow,173139818,@stackflow/plugin-preload@1.4.2,2024-09-03T05:28:48Z,github-actions[bot],false,false
stackflow,173139813,@stackflow/plugin-map-initial-activity@1.0.11,2024-09-03T05:28:46Z,github-actions[bot],false,false
stackflow,173139806,@stackflow/plugin-google-analytics-4@1.1.15,2024-09-03T05:28:42Z,github-actions[bot],false,false
stackflow,173139799,@stackflow/plugin-basic-ui@1.9.2,2024-09-03T05:28:39Z,github-actions[bot],false,false
stackflow,173139791,@stackflow/link@1.4.5,2024-09-03T05:28:36Z,github-actions[bot],false,false
stackflow,173139787,@stackflow/compat-await-push@1.1.13,2024-09-03T05:28:34Z,github-actions[bot],false,false
stackflow,171204000,@stackflow/plugin-history-sync@1.6.3,2024-08-21T06:44:29Z,github-actions[bot],false,false
stackflow,170105114,@stackflow/react@1.3.1,2024-08-14T06:44:07Z,github-actions[bot],false,false
stackflow,170099444,@stackflow/react@1.3.0,2024-08-14T05:39:17Z,github-actions[bot],false,false
stackflow,170099435,@stackflow/react-ui-core@1.1.1,2024-08-14T05:39:11Z,github-actions[bot],false,false
stackflow,170099440,@stackflow/plugin-stack-depth-change@1.1.5,2024-08-14T05:39:14Z,github-actions[bot],false,false
stackflow,170099430,@stackflow/plugin-renderer-web@1.1.12,2024-08-14T05:39:08Z,github-actions[bot],false,false
stackflow,170099426,@stackflow/plugin-renderer-basic@1.1.12,2024-08-14T05:39:05Z,github-actions[bot],false,false
